ID,Sub-ID,Discoverer,Date discovered,Solution
45,18,Corina Miner,2018-07-26,b33bb333bbb355588099555488000994444a880201994777aaa2221177766aa221116666
45,19,Corina Miner,2018-07-26,b33bb333bbb355522299555411222994444a111100994777aaa8000077766aa888886666
45,20,Corina Miner,2018-07-26,b33bb333bbb355511199555421211994444a222200994777aaa8000077766aa888886666
45,21,Corina Miner,2018-07-26,b33bb333bbb349988044449988000455599a880102555777aaa1122277766aa111226666
45,22,Corina Miner,2018-07-26,b33bb333bbb349988044449988000455599a880201555777aaa2221177766aa221116666
45,23,Corina Miner,2018-07-26,b33bb333bbb349922244449911222455599a111100555777aaa8000077766aa888886666
45,24,Corina Miner,2018-07-26,b33bb333bbb349911144449921211455599a222200555777aaa8000077766aa888886666
45,25,Corina Miner,2018-07-26,33b333bb7773bbb22277755511222005554a111100004444aaa8999999466aa888886666
45,26,Corina Miner,2018-07-26,33b333bb7773bbb11177755521211005554a222200004444aaa8999999466aa888886666
45,27,Corina Miner,2018-07-26,b33bb333bbb377722277755511222005554a111100004444aaa8999999466aa888886666
45,28,Corina Miner,2018-07-26,b33bb333bbb377711177755521211005554a222200004444aaa8999999466aa888886666
46,1,Corina Miner,2014-02-16,88888b9938bbb9933332bb9963002221111660000227711a6644455577aaa644455577aa
46,2,Yuta Takagi,2014-02-16,88888b9938bbb9933332bb99630022277aa6600002277aaa664445557711a64445551111
47,1,Corina Miner,2014-02-17,889b8899bbb8899bb0000292666600a222266377aaaaa111333775554441133775554441
47,2,Corina Miner,2014-02-17,889b8899bbb8899bb0000292337700a222233377aaaaa111663775554441166665554441
48,1,Corina Miner,2014-02-19,1113311033310005553202097555222299ba777744499bbbaaa874449bb66aa888886666
48,2,Corina Miner,2014-02-19,11133110333100055532020975552222996a777744499b66aaa874449bb66aa88888bbb6
48,3,Corina Miner,2014-02-19,1113311233312225553002297555000099ba777744499bbbaaa874449bb66aa888886666
48,4,Corina Miner,2014-02-19,11133112333122255530022975550000996a777744499b66aaa874449bb66aa88888bbb6
48,5,Corina Miner,2014-02-19,1113311b3331bbb5553bb66975556666990a777744499000aaa8744492020aa888882222
48,6,Corina Miner,2014-02-19,111331163331b665553bb6697555bbb6990a777744499000aaa8744492020aa888882222
48,7,Corina Miner,2014-02-19,1113311b3331bbb5553bb66975556666992a777744499222aaa8744490022aa888880000
48,8,Corina Miner,2014-02-19,111331163331b665553bb6697555bbb6992a777744499222aaa8744490022aa888880000
48,9,Corina Miner,2014-02-19,1111131033330005553202097555222299ba777744499bbbaaa874449bb66aa888886666
48,10,Corina Miner,2014-02-19,11111310333300055532020975552222996a777744499b66aaa874449bb66aa88888bbb6
48,11,Corina Miner,2014-02-19,1111131233332225553002297555000099ba777744499bbbaaa874449bb66aa888886666
48,12,Corina Miner,2014-02-19,11111312333322255530022975550000996a777744499b66aaa874449bb66aa88888bbb6
